iter	Passed	Remaining
394	120292	184245
395	120546	183864
396	120826	183522
397	121006	183029
398	121221	182591
399	121426	182139
400	121634	181693
401	121896	181328
402	122132	180926
403	122350	180496
404	122608	180129
405	122810	179678
406	123048	179281
407	123255	178841
408	123489	178440
409	123725	178043
410	123934	177609
411	124170	177213
412	124386	176790
413	124663	176455
414	124931	176108
415	125155	175698
416	125380	175291
417	125648	174946
418	125925	174612
419	126135	174186
420	126392	173827
421	126615	173420
422	126871	173061
423	127120	172691
424	127351	172298
425	127565	171883
426	127833	171542
427	128103	171203
428	128373	170865
429	128678	170573
430	128998	170301
431	129293	169996
432	129601	169709
433	129911	169423
434	130223	169140
435	130523	168842
436	130740	168436
437	130955	168029
438	131223	167691
439	131454	167305
440	131700	166940
441	131934	166560
442	132174	166188
443	132544	165979
444	132815	165646
445	133476	165798
446	134033	165817
447	134474	165692
448	134893	165537
449	135288	165352
450	135731	165224
451	135979	164859
452	136180	164438
453	136407	164049
454	136667	163700
455	136937	163363
456	137217	163039
457	137461	162672
458	137708	162310
459	137959	161952
460	138195	161577
461	138577	161374
462	138903	161104
463	139227	160831
464	139598	160613
465	139982	160408
466	140439	160287
467	140808	160064
468	141248	159921
469	141580	159654
470	141947	159427
471	142296	159179
472	142734	159029
473	143138	158841
474	143449	158549
475	143779	158278
476	144137	158037
477	144508	157810
478	144807	157504
479	145066	157155
480	145328	156809
481	145991	156895
482	146670	156995
483	147419	157166
484	147734	156872
485	148085	156617
486	148422	156346
487	148691	156004
488	148978	155680
489	149226	155317
490	149534	155016
491	149763	154633
492	149981	154240
493	150217	153866
494	150460	153499
495	150725	153156
496	150959	152782
497	151184	152398
498	151513	152121
499	151834	151834
500	152138	151531
501	152414	151199
502	152661	150840
503	152964	150536
504	153333	150297
505	153627	149983
506	153862	149613
507	154108	149254
508	154382	148922
509	154650	148586
510	154935	148265
511	155256	147978
512	155589	147704
513	155970	147473
514	156249	147147
515	156509	146803
516	156767	146458
517	157023	146110
518	157287	145771
519	157546	145427
520	157794	145074
521	158050	144727
522	158308	144384
523	158525	144004
524	158748	143629
525	159002	143283
526	159256	142937
527	159505	142588
528	159773	142255
529	160005	141891
530	160308	141591
531	160561	141245
532	160780	140871
533	160973	140475
534	161191	140101
535	161543	139843
536	161770	139478
537	162093	139195
538	162423	138918
539	162682	138581
540	162952	138253
541	163175	137886
542	163444	137557
543	163792	137296
544	164155	137047
545	164440	136732
546	164742	136432
547	164994	136090
548	165214	135722
549	165539	135441
550	165842	135142
551	166116	134819
552	166398	134503
553	166689	134193
554	166942	133854
555	167221	133536
556	167454	133182
557	167666	132811
558	167948	132495
559	168209	132164
560	168471	131833
561	168709	131485
562	168986	131166
563	169274	130857
564	169618	130590
565	169881	130262
566	170116	129912
567	170355	129566
568	170563	129196
569	170802	128850
570	171052	128513
571	171360	128220
572	171648	127912
573	171878	127561
574	172147	127239
575	172342	126863
576	172589	126525
577	172844	126194
578	173084	125852
579	173359	125535
580	173578	125179
581	173805	124829
582	174044	124488
583	174289	124151
584	174590	123855
585	174963	123608
586	175223	123283
587	175490	122962
588	175744	122633
589	175921	122250
590	176139	121897
591	176356	121543
592	176638	121234
593	176851	120878
594	177098	120546
595	177354	120220
596	177644	119917
597	177902	119593
598	178165	119273
599	178403	118935
600	178751	118672
601	179027	118360
602	179255	118017
603	179521	117699
604	179762	117365
605	180012	117037
606	180246	116700
607	180473	116357
608	180706	116020
609	180920	115670
610	181201	115363
611	181494	115065
612	181816	114784
613	182102	114481
614	182369	114166
615	182630	113847
616	182855	113506
617	183121	113191
618	183420	112896
619	183647	112558
620	183902	112236
621	184151	111911
622	184511	111654
623	184838	111377
624	185131	111078
625	185480	110814
626	185937	110613
627	186508	110479
628	186823	110192
629	187057	109858
630	187310	109536
631	187537	109199
632	187946	108967
633	188283	108693
634	188583	108398
635	188864	108092
636	189116	107769
637	189376	107452
638	189958	107316
639	190316	107053
640	190643	106772
641	190945	106477
642	191370	106250
643	191713	105978
644	192047	105700
645	192353	105407
646	192702	105137
647	192978	104827
648	193295	104540
649	193570	104230
650	193872	103934
651	194146	103624
652	194521	103367
653	194773	103045
654	195096	102760
655	195379	102454
656	195715	102177
657	196031	101888
658	196337	101595
659	196616	101287
660	196884	100973
661	197193	100681
662	197491	100383
663	197844	100114
664	198216	99853
665	198536	99566
666	198886	99294
667	199157	98982
668	199396	98655
669	199648	98334
670	199908	98017
671	200165	97699
672	200484	97412
673	200889	97166
674	201224	96886
675	201482	96568
676	201799	96279
677	202063	95965
678	202397	95684
679	202851	95459
680	203189	95179
681	203457	94867
682	203707	94546
683	203940	94218
684	204162	93885
685	204397	93557
686	204692	93258
687	204977	92954
688	205233	92638
689	205572	92358
690	205969	92105
691	206322	91831
692	206597	91523
693	206862	91210
694	207121	90895
695	207432	90602
696	207696	90289
697	207998	89993
698	208229	89666
699	208507	89360
700	208785	89054
701	209073	88751
702	209350	88445
703	209659	88152
704	209849	87809
705	210219	87541
706	210653	87300
707	210957	87005
708	211245	86703
709	211518	86394
710	211732	86062
711	212048	85772
712	212295	85454
713	212525	85129
714	212752	84803
715	212950	84466
716	213219	84157
717	213453	83835
718	213658	83502
719	213930	83195
720	214269	82914
721	214595	82628
722	214866	82321
723	215077	81990
724	215346	81683
725	215610	81373
726	215896	81072
727	216243	80794
728	216587	80514
729	216865	80210
730	217189	79923
731	217458	79615
732	217736	79312
733	218032	79014
734	218385	78737
735	218696	78445
736	219044	78166
737	219462	77912
738	219751	77611
739	220041	77312
740	220325	77009
741	220582	76698
742	220882	76402
743	221111	76081
744	221400	75781
745	221793	75516
746	222079	75215
747	222327	74901
748	222551	74579
749	222828	74276
750	223140	73984
751	223387	73670
752	223617	73351
753	223832	73027
754	224108	72723
755	224347	72408
756	224729	72139
757	225074	71857
758	225342	71551
759	225599	71241
760	225797	70913
761	226042	70601
762	226374	70315
763	226682	70022
764	227025	69739
765	227234	69416
766	227456	69096
767	227775	68807
768	228111	68522
769	228384	68218
770	228590	67895
771	228828	67581
772	229060	67266
773	229353	66968
774	229572	66650
775	229838	66345
776	230047	66023
777	230292	65713
778	230576	65413
779	230817	65102
780	231056	64790
781	231323	64486
782	231504	64158
783	231784	63859
784	232009	63544
785	232276	63240
786	232467	62916
787	232724	62611
788	233084	62333
789	233392	62040
790	233618	61727
791	233830	61410
792	234109	61110
793	234329	60795
794	234590	60491
795	234835	60183
796	235067	59872
797	235300	59562
798	235575	59262
799	235773	58943
800	235980	58626
801	236220	58318
802	236428	58003
803	236675	57696
804	236902	57386
805	237125	57074
806	237358	56765
807	237586	56456
808	237824	56148
809	238031	55834
810	238819	226944811	238820	227194812	238821	227482813	238822	227759814	239823	228108815	239824	228494	48468
825	228845	48207
826	229167	47939
827	229478	47669
828	229842	47410
829	230170	47143
830	230449	46866
831	230709	46585
832	231049	46320
833	231433	46064
834	231762	45797
835	232060	45523
836	232323	45243
837	232577	44961
838	232801	44673
839	233014	44383
840	233267	44101
841	233537	43822
842	233815	43545
843	234092	43268
844	234360	42989
845	234702	42723
846	235081	42464
847	235410	42196
848	235695	41919
849	235995	41646
850	236264	41367
851	236484	41079
852	236829	40813
853	237241	40558
854	237500	40277
855	237902	40020
856	238297	39762
857	238612	39490
858	238888	39212
859	239186	38937
860	239457	38658
861	239716	38376
862	239954	38092
863	240154	37802
864	240416	37521
865	240770	37255
866	241128	36989
867	241451	36718
868	241793	36449
869	242129	36180
870	242455	35908
871	242782	35637
872	243068	35360
873	243298	35075
874	243474	34782
875	243690	34495
876	243917	34209
877	244210	33933
878	244482	33654
879	244702	33368
880	244930	33083
881	245134	32795
882	245365	32511
883	245558	32222
884	245765	31935
885	245985	31650
886	246292	31376
887	246643	31108
888	246872	30824
889	247142	30545
890	247347	30259
891	247534	29970
892	247704	29680
893	247906	29393
894	248134	29110
895	248342	28825
896	248598	28545
897	248993	28282
898	249348	28013
899	249616	27735
900	249898	27458
901	250169	27180
902	250416	26899
903	250668	26619
904	250883	26335
905	251107	26053
906	251299	25767
907	251542	25486
908	251824	25210
909	252078	24930
910	252358	24654
911	252689	24382
912	253027	24111
913	253346	23837
914	253623	23560
915	253884	23281
916	254185	23006
917	254450	22728
918	254724	22451
919	254956	22170
920	255288	21897
921	255528	21617
922	255789	21338
923	256080	21062
924	256417	20790
925	256741	20517
926	257278	20260
927	257571	19983
928	257839	19705
929	258055	19423
930	258288	19142
931	258611	18868
932	258944	18595
933	259266	18320
934	259555	18043
935	260023	17779
936	260502	17515
937	260828	17240
938	261076	16960
939	261382	16683
940	261612	16402
941	261815	16120
942	262116	15843
943	262366	15564
944	262650	15286
945	262862	15004
946	263233	14732
947	263646	14461
948	263917	14183
949	264145	13902
950	264355	13620
951	264571	13339
952	264778	13058
953	264999	12777
954	265223	12497
955	265793	12233
956	266187	11960
957	266556	11686
958	266961	11413
959	267369	11140
960	267820	10868
961	268118	10590
962	268403	10312
963	268691	10034
964	268986	9756
965	269281	9477
966	269569	9199
967	269749	8917
968	269985	8637
969	270247	8358
970	270516	8079
971	270785	7800
972	271069	7521
973	271290	7241
974	271481	6961
975	271636	6679
976	271846	6399
977	272028	6119
978	272214	5839
979	272385	5558
980	272598	5279
981	272741	4999
982	272925	4719
983	273010	4439
984	273142	4159
985	273362	3881
986	273554	3603
987	273722	3324
988	273860	3045
989	273990	2767
990	274132	2489
991	274294	2212
992	274452	1934
993	274576	1657
994	274702	1380
995	274838	1103
996	274981	827
997	275139	551
998	275285	275
999	275390	0
700	2594
991	285853	2305
992	285957	2015
993	286080	1726
994	286212	1438
995	286346	1149
996	286505	862
997	286626	574
998	286728	287
999	286830	0
