iter	RMSE
0	0.8617318301
1	0.7719132386
2	0.6916324457
3	0.6202089999
4	0.5565331915
5	0.5004190762
6	0.4506488111
7	0.4060476839
8	0.3667878504
9	0.3310791403
10	0.2999496692
11	0.2727395049
12	0.2483353607
13	0.226702092
14	0.2079259027
15	0.1904355834
16	0.1750215025
17	0.1614315184
18	0.1495003042
19	0.1394733659
20	0.1301958564
21	0.1221447444
22	0.1151517011
23	0.1088628679
24	0.1035885075
25	0.09909602039
26	0.09535436214
27	0.09162124124
28	0.08843936655
29	0.08556225841
30	0.08327500394
31	0.08104113297
32	0.07925541413
33	0.07765261162
34	0.07624927135
35	0.07500792423
36	0.0740229938
37	0.07304201802
38	0.07225599722
39	0.07162161939
40	0.0709254477
41	0.07025840269
42	0.06980543827
43	0.0692668795
44	0.06880645607
45	0.06845622931
46	0.06804116268
47	0.06778171278
48	0.06746606324
49	0.06724183497
50	0.06702576902
51	0.06682574369
52	0.06667045415
53	0.06652296491
54	0.06633949652
55	0.06621705059
56	0.06606133417
57	0.06597063613
58	0.06583179928
59	0.06572480499
60	0.06562115135
61	0.06547648849
62	0.0653407244
63	0.06519715221
64	0.06510290806
65	0.06505060367
66	0.06499153113
67	0.06486241165
68	0.06477592644
69	0.06472994305
70	0.06461720611
71	0.06456438069
72	0.06447802954
73	0.06438803175
74	0.06433218988
75	0.06430017784
76	0.06418655948
77	0.06409608723
78	0.06403479696
79	0.06397897382
80	0.06392604236
81	0.06385190126
82	0.06378362383
83	0.06373770212
84	0.06368961259
85	0.06364801774
86	0.063582237
87	0.06354036921
88	0.06349550856
89	0.06342263156
90	0.06337911243
91	0.06330583588
92	0.06325927768
93	0.06321857318
94	0.0631674553
95	0.0631408606
96	0.06308640928
97	0.06303852955
98	0.06299700601
99	0.0629270382
100	0.06289822092
101	0.06285378259
102	0.06280962458
103	0.06275469337
104	0.06269509039
105	0.06264857811
106	0.06258743766
107	0.06255868419
108	0.06251651085
109	0.06246967555
110	0.06243841773
111	0.06239609939
112	0.0623603016
113	0.06232115605
114	0.06230217175
115	0.06226423412
116	0.06223412431
117	0.06220749632
118	0.06216151573
119	0.0621271459
120	0.06208192032
121	0.06205500223
122	0.06202696556
123	0.06200466297
124	0.06196294649
125	0.0619073356
126	0.06186936423
127	0.0618326035
128	0.0617985926
129	0.06177464683
130	0.06175325185
131	0.06170594728
132	0.06166899492
133	0.0616362896
134	0.06160681864
135	0.06156762621
136	0.06153981465
137	0.06151517889
138	0.06149011509
139	0.06146221132
140	0.06143449129
141	0.06141372407
142	0.06139288386
143	0.06136219847
144	0.06133591206
145	0.06131236361
146	0.06129178237
147	0.0612757927
148	0.06126525356
149	0.06125186947
150	0.06122297442
151	0.06120638045
152	0.06117829292
153	0.06115819032
154	0.06112900727
155	0.06110228699
156	0.06107220802
157	0.06105159772
158	0.06102856131
159	0.06099959693
160	0.06098786911
161	0.06095875629
162	0.06094017557
163	0.06091907751
164	0.06090270282
165	0.06088384085
166	0.0608700549
167	0.06084900187
168	0.0608335477
169	0.06081857626
170	0.0608049974
171	0.06078626549
172	0.06076703507
173	0.06074584973
174	0.06072410977
175	0.06070724448
176	0.0606921073
177	0.0606824801
178	0.06067014046
179	0.06065550769
180	0.06063728529
181	0.06062009
182	0.06059680703
183	0.06057298453
184	0.06055310065
185	0.06054176057
186	0.06052530905
187	0.06051134128
188	0.06049691011
189	0.06048398837
190	0.06046678445
191	0.0604532407
192	0.06043922623
193	0.06042174384
194	0.0604017943
195	0.0603904966
196	0.06037993613
197	0.06035630623
198	0.06034282539
199	0.06033340132
200	0.06031981384
201	0.06030817051
202	0.06030082417
203	0.06028244065
204	0.06026847406
205	0.06025012187
206	0.06023506275
207	0.06021877046
208	0.0602000019
209	0.0601877853
210	0.06017077897
211	0.06015132655
212	0.06013914457
213	0.06012764236
214	0.06011605524
215	0.06010149802
216	0.06008018433
217	0.06006739586
218	0.06005296245
219	0.06004077099
220	0.06002705532
221	0.06001292681
222	0.06000178216
223	0.05999012401
224	0.05997394899
225	0.0599646678
226	0.05995165611
227	0.05994252013
228	0.05993141855
229	0.05991866305
230	0.05990932628
231	0.05989908916
232	0.05988083333
233	0.05986939473
234	0.05985770945
235	0.05985019925
236	0.05983155444
237	0.05982162244
238	0.05981411569
239	0.0598059759
240	0.05979156618
241	0.05978505778
242	0.05977511939
243	0.05976506422
244	0.05974970017
245	0.05973799209
246	0.05972962471
247	0.05971746975
248	0.05970350147
249	0.05968799349
250	0.05967593933
251	0.05966008788
252	0.05964979379
253	0.05963815284
254	0.05962963301
255	0.05962081759
256	0.05961334479
257	0.05960297905
258	0.0595952789
259	0.05958927566
260	0.05957843501
261	0.05956634412
262	0.05955959723
263	0.05955531413
264	0.05954986213
265	0.05954219588
266	0.05953310373
267	0.05952684126
268	0.05952067529
269	0.05950852632
270	0.05950151598
271	0.05949265813
272	0.0594773126
273	0.05946765964
274	0.05946122634
275	0.05945267447
276	0.05944642734
277	0.05943739712
278	0.05942947459
279	0.05942370724
280	0.05941629897
281	0.05940969424
282	0.05940029053
283	0.05939304327
284	0.05938464772
285	0.05937900917
286	0.05937386259
287	0.05936666626
288	0.05935344976
289	0.0593483858
290	0.05934095603
291	0.05933155611
292	0.05931712541
293	0.0593053942
294	0.05930222889
295	0.05929575581
296	0.05928525273
297	0.05927767062
298	0.05927072372
299	0.05926208199
300	0.05925615528
301	0.05924728993
302	0.05923666615
303	0.05922482895
304	0.05921365256
305	0.05920818657
306	0.05920026884
307	0.05919179061
308	0.05918709745
309	0.05918053147
310	0.05916393723
311	0.05915646992
312	0.05915141591
313	0.05914068194
314	0.05913279757
315	0.05912408696
316	0.05911501204
317	0.05911053447
318	0.05909925419
319	0.05909752215
320	0.0590900683
321	0.05908300157
322	0.05907519779
323	0.05906247669
324	0.05905267284
325	0.05904492227
326	0.05903610109
327	0.05902646709
328	0.05902153633
329	0.05901415225
330	0.05900694853
331	0.05899993574
332	0.0589936501
333	0.05898918609
334	0.05898190767
335	0.0589758348
336	0.05897190124
337	0.05896709913
338	0.0589602057
339	0.05895383489
340	0.05894614145
341	0.0589405937
342	0.05893903535
343	0.05893154549
344	0.05892223122
345	0.05891470148
346	0.05891143242
347	0.05890361772
348	0.05889487187
349	0.05888788506
350	0.05888099138
351	0.05887405524
352	0.05886822926
353	0.05886429608
354	0.05886180057
355	0.05885410612
356	0.05884600097
357	0.05883795819
358	0.05883052778
359	0.05882933966
360	0.05881942884
361	0.05881035275
362	0.05880461559
363	0.0587965363
364	0.05879068073
365	0.05878374246
366	0.05877933776
367	0.05877424304
368	0.05876325695
369	0.05875525985
370	0.05875027201
371	0.0587406679
372	0.05873022137
373	0.0587201889
374	0.05871051115
375	0.05870384946
376	0.05869814252
377	0.05869002903
378	0.05868471054
379	0.05867888623
380	0.05867490172
381	0.05867104468
382	0.05866137142
383	0.05865599338
384	0.05865075913
385	0.05864521914
386	0.05863956407
387	0.05863375057
388	0.058626012
389	0.05861960054
390	0.05861299911
391	0.05860916492
392	0.05860264973
393	0.05859304846
394	0.05858412258
395	0.05857819564
396	0.05857319649
397	0.0585671912
398	0.05856049308
399	0.05855448819
400	0.05854727046
401	0.05854246229
402	0.05853883219
403	0.0585323248
404	0.05852505758
405	0.05851678903
406	0.0585087547
407	0.05850264172
408	0.05849717691
409	0.05849158654
410	0.05848493634
411	0.05847763044
412	0.05847133773
413	0.05846607037
414	0.05845957514
415	0.05845484322
416	0.05845032187
417	0.05844504816
418	0.05843925951
419	0.05843674867
420	0.05842819564
421	0.05842226933
422	0.05841770003
423	0.05841522482
424	0.0584096571
425	0.05840425681
426	0.05839893605
427	0.05839254345
428	0.0583877071
429	0.05838277764
430	0.05837489512
431	0.058369704
432	0.05836672991
433	0.05835995798
434	0.05835569183
435	0.05835229177
436	0.05834565423
437	0.05833997516
438	0.05833665361
439	0.05832648483
440	0.05832043092
441	0.05831522119
442	0.05831016671
443	0.05830604112
444	0.05830256201
445	0.05829343027
446	0.05828686942
447	0.05828258567
448	0.05827979474
449	0.0582759254
450	0.0582741366
451	0.05826738083
452	0.05826187787
453	0.05825739353
454	0.05825298538
455	0.05824996263
456	0.05824466821
457	0.05823955293
458	0.05823620663
459	0.05822977667
460	0.05822539745
461	0.0582205207
462	0.05821286474
463	0.05820601801
464	0.05820163977
465	0.05819711628
466	0.05819495057
467	0.05818783193
468	0.05818449595
469	0.05817718393
470	0.0581721038
471	0.05816677861
472	0.05816087892
473	0.05815513768
474	0.05815282076
475	0.05814923124
476	0.05814618523
477	0.05814335854
478	0.05813726311
479	0.05813365608
480	0.05812896132
481	0.05812396351
482	0.05811747
483	0.05811285001
484	0.05810549648
485	0.05809828944
486	0.05809151787
487	0.05808689736
488	0.05808085609
489	0.05807426514
490	0.05807091936
491	0.05806709372
492	0.05806131104
493	0.05805591539
494	0.05805193206
495	0.05804806193
496	0.05804484284
497	0.05803976212
498	0.05803369858
499	0.05802848134
500	0.05802323883
501	0.05801654848
502	0.05801223683
503	0.05800740503
504	0.05800301647
505	0.05800083873
506	0.05799767468
507	0.05799333807
508	0.05798555332
509	0.0579819109
510	0.057977694
511	0.05797426258
512	0.05797083259
513	0.05796269286
514	0.05795623368
515	0.05795159073
516	0.05794565636
517	0.05794122353
518	0.05793700194
519	0.05793424899
520	0.05792820825
521	0.05792580019
522	0.05792163647
523	0.05791873104
524	0.05791235662
525	0.05790743819
526	0.05790370465
527	0.05789973579
528	0.05789618768
529	0.05789174732
530	0.0578876862
531	0.05788333412
532	0.05788193075
533	0.05787532033
534	0.05787216009
535	0.0578669366
536	0.05786158099
537	0.05785766873
538	0.057852889
539	0.05784940241
540	0.05784461858
541	0.05784058668
542	0.05783686722
543	0.0578321552
544	0.05782902494
545	0.05782622054
546	0.05782216274
547	0.05781679545
548	0.05781266811
549	0.05780749618
550	0.05780224164
551	0.05779740139
552	0.05779278844
553	0.05779002036
554	0.05778645213
555	0.05778457684
556	0.05778258762
557	0.0577791199
558	0.0577774051
559	0.05777559211
560	0.05777070975
